! R&S PA Compression Test Version 1.6
! (C) 2016 Rohde & Schwarz North America
! 
! Fri Feb 04 01:34:17 2016
! 
! VNA INSTRUMENT INFO
! Connection:       TCPIP
! Address:          127.0.0.1
! Make:             Rohde & Schwarz
! Model:            ZVA
! Serial No:        1145101099999999
! Firmware Version: 3.60
! Min Frequency:    300 KHz
! Max Frequency:    8 GHz
! Number of Ports:  4
! Options:
!     ZVA-K7
!     ZVA-K17
!     ZVAB-SIM
!     ZVT8-B63
!     ZVT8-B64
!     ZVT8-B65
!     ZVT8-B66
!     ZVT8-B68
!     ZVA8-B16
!     ZVA8-B21
!     ZVA8-B22
!     ZVA8-B23
!     ZVA8-B24
!     ZVA8-B31
!     ZVA8-B32
!     ZVA8-B33
!     ZVA8-B34
!     ZVT8-B67
!     ZVA-B7
! 
! PULSED RF? No
! 
! SETTINGS
! Start Frequency:        500 MHz
! Stop Frequency:         6 GHz
! Frequency Points:       51
! IF BW:                  100 KHz
! 
! Start Power:            -20 dBm
! Stop Power:             10 dBm
! Power Points:           61
! Compression value:      1 dB
! Include gain expansion? Yes
! Stop at compression?    Yes
! Post Condition:         None
! 
! Channel:                1
! Input port:             1
! Output port:            2
! 
! 
Frequency_Hz,             Pin_dBm,                  Pin_deg,                  Pout_dBm,                 Pout_deg,                 S11_dB,                   S11_deg,                  S21_dB,                   S21_deg,                  S12_dB,                   S12_deg,                  S22_dB,                   S22_deg
6.100000000000000e+08,    -1.483308804345659e+01,   0.000000000000000e+00,    7.708802276099487e-01,    1.388667032616621e+02,    -1.628896169906287e+01,   -5.740045362532588e+00,   1.560396827106654e+01,    1.388667032616621e+02,    -2.277571243454423e+01,   -3.686378607515710e+01,   -1.516409327148983e+01,   8.180551568237929e+01
6.100000000000000e+08,    -1.443078901190068e+01,   0.000000000000000e+00,    1.227877358653870e+00,    1.378344881754380e+02,    -1.625487435390566e+01,   -6.407228282740877e+00,   1.565866637055455e+01,    1.378344881754380e+02,    -2.272938490291811e+01,   -3.708347400704356e+01,   -1.497689423089421e+01,   7.805945080424642e+01
6.100000000000000e+08,    -1.385105277604473e+01,   0.000000000000000e+00,    1.751118826822418e+00,    1.379371881533604e+02,    -1.631731152770013e+01,   -6.385745560578763e+00,   1.560217160286715e+01,    1.379371881533604e+02,    -2.261655858844226e+01,   -3.630580616419368e+01,   -1.487023162081440e+01,   7.904292483318498e+01
6.100000000000000e+08,    -1.341417642556053e+01,   0.000000000000000e+00,    2.220035691376216e+00,    1.381586837584779e+02,    -1.627943705573399e+01,   -6.036031368854132e+00,   1.563421211693675e+01,    1.381586837584779e+02,    -2.258830295300406e+01,   -3.672660387880511e+01,   -1.469959412878363e+01,   7.977265737485588e+01
6.100000000000000e+08,    -1.285105153200272e+01,   0.000000000000000e+00,    2.771878466940100e+00,    1.380338651621952e+02,    -1.630526752841678e+01,   -6.058674278043172e+00,   1.562292999894282e+01,    1.380338651621952e+02,    -2.273041337765737e+01,   -3.688396095770386e+01,   -1.474029517806634e+01,   7.687691495176665e+01
6.100000000000000e+08,    -1.238132589055618e+01,   0.000000000000000e+00,    3.252629600652362e+00,    1.380410045300951e+02,    -1.632424546136210e+01,   -6.038316348568221e+00,   1.563395549120854e+01,    1.380410045300951e+02,    -2.263907473880818e+01,   -3.651555048947013e+01,   -1.446287431572993e+01,   8.046135569115403e+01
6.100000000000000e+08,    -1.185508139424587e+01,   0.000000000000000e+00,    3.744732194582937e+00,    1.383562962745592e+02,    -1.636452733115429e+01,   -5.924811109359148e+00,   1.559981358882881e+01,    1.383562962745592e+02,    -2.270823069275245e+01,   -3.645466459335540e+01,   -1.489201023583777e+01,   7.616889529710450e+01
6.100000000000000e+08,    -1.142929786179869e+01,   0.000000000000000e+00,    4.224549498195612e+00,    1.381129315442851e+02,    -1.627030358591494e+01,   -6.013404257263499e+00,   1.565384735999430e+01,    1.381129315442851e+02,    -2.268278838452121e+01,   -3.686692435295401e+01,   -1.480306645095489e+01,   7.898933733315037e+01
6.100000000000000e+08,    -1.095478325889890e+01,   0.000000000000000e+00,    4.716338249836147e+00,    1.377361285236901e+02,    -1.626611567514682e+01,   -6.611685159650574e+00,   1.567112150873505e+01,    1.377361285236901e+02,    -2.266693488421240e+01,   -3.692853428551523e+01,   -1.495495382131127e+01,   7.995632674258141e+01
6.100000000000000e+08,    -1.047410145205600e+01,   0.000000000000000e+00,    5.192059334773324e+00,    1.380037513940752e+02,    -1.631602938550177e+01,   -6.145802427487644e+00,   1.566616078682933e+01,    1.380037513940752e+02,    -2.270207889096821e+01,   -3.644664575460273e+01,   -1.497707158751538e+01,   7.673637903653847e+01
