!CSV A.01.01
!Agilent Technologies,N5241A,MY52011414,A.09.80.16
!Date: Friday, February, 27, 2015 18:02:12
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",201,,,,,,,
"Num Power Points:",21,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2,
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
2.055e+009,-7.69189,95.0999,29.0696,93.5336,45.3995,-125.349,16.3299,141.118,0.609886,-2.17369,0,0
2.055e+009,-7.89514,94.2332,29.8986,94.6773,46.1973,-125.296,16.2987,140.026,0.578681,-3.26498,0,0
2.055e+009,-8.18946,92.6635,30.7567,95.8813,46.9312,-125.652,16.1745,138.466,0.454461,-4.82497,0,0
2.055e+009,-8.49359,90.156,31.6052,97.3914,47.5128,-125.918,15.9076,136.691,0.187557,-6.60043,0,0
2.055e+009,-8.65422,87.3115,32.4295,99.165,47.934,-125.619,15.5044,135.216,-0.21561,-8.07544,0,0
2.055e+009,-8.68529,84.454,33.2804,100.409,48.2555,-125.66,14.9751,133.931,-0.744998,-9.36052,0,0
2.055e+009,-8.65027,81.7015,34.1426,101.682,48.5119,-125.606,14.3693,132.712,-1.35075,-10.5794,0,0
2.055e+009,-8.60016,79.1539,34.9854,103.276,48.7145,-125.19,13.729,131.534,-1.99102,-11.7572,0,0
2.055e+009,-8.54851,76.6904,35.8238,104.447,48.8775,-125.218,13.0537,130.335,-2.66637,-12.9564,0,0
2.055e+009,-8.51756,74.2761,36.6709,105.827,49.0046,-125.02,12.3337,129.154,-3.38637,-14.1376,0,0
2.056e+009,-6.77944,96.5368,19.7959,65.4479,35.682,-152.024,15.886,142.528,0,0,0,0
2.056e+009,-6.82732,96.5492,20.6569,66.3307,36.5899,-151.035,15.9331,142.635,0.0470161,0.106619,0,0
2.056e+009,-6.87462,96.3464,21.5049,67.7761,37.4958,-149.539,15.9909,142.684,0.104858,0.156272,0,0
2.056e+009,-6.92724,96.2215,22.3168,69.0303,38.385,-148.275,16.0681,142.695,0.1821,0.166924,0,0
2.056e+009,-7.0045,95.9816,23.1685,70.1929,39.2923,-147.247,16.1239,142.56,0.237819,0.0320219,0,0
2.056e+009,-7.07185,95.9187,24.0077,71.3111,40.211,-146.131,16.2033,142.558,0.317274,0.0296233,0,0
2.056e+009,-7.15762,95.7261,24.8576,72.9672,41.1216,-144.605,16.264,142.428,0.377996,-0.100589,0,0
2.056e+009,-7.23558,95.525,25.7028,73.8394,42.0484,-143.926,16.3456,142.235,0.459613,-0.293568,0,0
2.056e+009,-7.33778,95.2279,26.5424,75.608,42.9482,-142.521,16.4057,141.871,0.519689,-0.657535,0,0
2.056e+009,-7.44228,95.0007,27.3716,76.6765,43.8321,-141.78,16.4604,141.543,0.574411,-0.984936,0,0
2.056e+009,-7.57343,94.6744,28.2161,78.0198,44.7159,-140.967,16.4998,141.014,0.613782,-1.51465,0,0
2.056e+009,-7.72837,94.1162,29.0617,79.3998,45.5766,-140.394,16.515,140.206,0.628955,-2.32246,0,0
2.056e+009,-7.94062,93.2267,29.8974,80.8721,46.3723,-140.033,16.4749,139.095,0.588862,-3.43333,0,0
2.056e+009,-8.24377,91.6433,30.7645,82.1608,47.1067,-140.298,16.3422,137.541,0.456205,-4.98729,0,0
2.056e+009,-8.55123,89.1705,31.6068,83.7533,47.681,-140.448,16.0741,135.799,0.188096,-6.72948,0,0
2.056e+009,-8.71688,86.2598,32.4449,85.4427,48.1068,-140.278,15.6619,134.279,-0.224139,-8.24885,0,0
2.056e+009,-8.74639,83.4284,33.2788,86.4208,48.4196,-140.557,15.1408,133.022,-0.745285,-9.50575,0,0
2.056e+009,-8.71343,80.6778,34.1376,87.5627,48.676,-140.621,14.5385,131.816,-1.34758,-10.7123,0,0
2.056e+009,-8.66084,78.0111,34.9919,89.5812,48.8784,-139.83,13.8865,130.589,-1.99957,-11.9393,0,0
2.056e+009,-8.6159,75.5705,35.8193,90.8236,49.0395,-139.772,13.2201,129.405,-2.66589,-13.1237,0,0
2.056e+009,-8.5893,73.1255,36.6703,92.0533,49.1679,-139.745,12.4976,128.202,-3.38846,-14.3263,0,0
2.057e+009,-6.80091,96.3503,19.817,51.4371,35.7243,-166.791,15.9073,141.772,0,0,0,0
2.057e+009,-6.82198,96.2034,20.6266,52.6353,36.6079,-165.547,15.9813,141.818,0.0739802,0.0459896,0,0
2.057e+009,-6.87744,96.1298,21.4901,53.4338,37.521,-164.629,16.0309,141.937,0.123607,0.16555,0,0
2.057e+009,-6.92007,95.9122,22.2974,55.3867,38.4137,-162.724,16.1163,141.889,0.209016,0.117447,0,0
2.057e+009,-7.00947,95.647,23.1634,56.3489,39.3279,-161.903,16.1645,141.748,0.25719,-0.0236855,0,0
2.057e+009,-7.07551,95.6319,23.9955,57.3814,40.2449,-160.809,16.2495,141.81,0.342173,0.0383544,0,0
2.057e+009,-7.18351,95.3649,24.8771,58.8336,41.1691,-159.588,16.292,141.578,0.384693,-0.193409,0,0
2.057e+009,-7.25135,95.1711,25.6967,60.283,42.0819,-158.359,16.3852,141.358,0.477936,-0.414057,0,0
2.057e+009,-7.37173,94.9636,26.5538,61.699,42.9811,-157.222,16.4273,141.079,0.520045,-0.692471,0,0
2.057e+009,-7.47585,94.6364,27.3862,62.7658,43.877,-156.53,16.4908,140.704,0.583501,-1.06787,0,0
2.057e+009,-7.60414,94.2812,28.2243,64.2329,44.7499,-155.644,16.5256,140.123,0.618263,-1.64821,0,0
2.057e+009,-7.7573,93.7825,29.052,66.0752,45.5934,-154.543,16.5414,139.382,0.63412,-2.3896,0,0
2.057e+009,-7.98367,92.8216,29.9172,66.8733,46.4122,-154.928,16.495,138.198,0.587717,-3.57314,0,0
2.057e+009,-8.29102,91.1873,30.7635,68.2457,47.1275,-155.111,16.364,136.644,0.456683,-5.1279,0,0
2.057e+009,-8.60951,88.6563,31.6224,69.9755,47.7051,-155.138,16.0827,134.886,0.175427,-6.88516,0,0
2.057e+009,-8.77483,85.6475,32.4654,71.3739,48.1269,-155.257,15.6615,133.369,-0.245801,-8.40239,0,0
2.057e+009,-8.80127,82.7955,33.2948,72.4711,48.4376,-155.408,15.1428,132.121,-0.764466,-9.65067,0,0
2.057e+009,-8.76871,79.9323,34.1579,73.8866,48.691,-155.255,14.5331,130.858,-1.37421,-10.9136,0,0
2.057e+009,-8.71283,77.2914,34.997,75.394,48.8919,-154.956,13.8949,129.65,-2.01239,-12.1214,0,0
2.057e+009,-8.66273,74.757,35.8423,76.8912,49.0537,-154.661,13.2114,128.448,-2.69593,-13.3235,0,0
2.057e+009,-8.6402,72.2808,36.6825,78.0479,49.178,-154.725,12.4956,127.227,-3.41173,-14.5445,0,0
2.058e+009,-6.84459,95.8153,19.7873,37.0946,35.7316,178.641,15.9442,141.546,0,0,0,0
2.058e+009,-6.87458,95.6459,20.6162,38.5187,36.6149,-179.893,15.9986,141.588,0.0543919,0.0421428,0,0
2.058e+009,-6.95383,95.4836,21.4879,39.8383,37.5293,-178.505,16.0414,141.657,0.0972107,0.110442,0,0
2.058e+009,-7.00197,95.3354,22.3095,40.799,38.4243,-177.534,16.1148,141.667,0.170558,0.120378,0,0
2.058e+009,-7.08649,95.1529,23.158,42.2815,39.3227,-176.114,16.1647,141.604,0.220477,0.058249,0,0
2.058e+009,-7.1551,94.9271,24.0002,43.5738,40.2422,-174.989,16.242,141.438,0.297762,-0.108539,0,0
2.058e+009,-7.23657,94.8163,24.8443,45.0523,41.1601,-173.596,16.3159,141.351,0.371623,-0.194768,0,0
2.058e+009,-7.33092,94.6657,25.7003,45.967,42.082,-172.867,16.3817,141.166,0.437432,-0.380521,0,0
2.058e+009,-7.43436,94.2877,26.5462,48.0729,42.9904,-171.154,16.4442,140.773,0.499949,-0.773295,0,0
2.058e+009,-7.55691,94.0111,27.3867,48.718,43.8847,-170.864,16.498,140.418,0.553794,-1.12854,0,0
2.058e+009,-7.67996,93.7169,28.2254,50.2199,44.7599,-169.871,16.5346,139.909,0.590333,-1.63756,0,0
2.058e+009,-7.85396,93.1146,29.078,51.9086,45.6144,-169.044,16.5365,139.047,0.592231,-2.49891,0,0
2.058e+009,-8.0779,92.1162,29.9146,53.2722,46.4051,-168.883,16.4905,137.845,0.546278,-3.70127,0,0
2.058e+009,-8.38443,90.4586,30.763,54.5086,47.1206,-169.217,16.3576,136.274,0.413377,-5.27203,0,0
2.058e+009,-8.70582,87.8581,31.6197,55.97,47.6905,-169.497,16.0708,134.533,0.126602,-7.01359,0,0
2.058e+009,-8.85791,84.8606,32.4487,57.2862,48.102,-169.698,15.6533,133.015,-0.29091,-8.53074,0,0
2.058e+009,-8.88096,81.8759,33.2938,58.5072,48.4165,-169.78,15.1227,131.713,-0.82149,-9.83361,0,0
2.058e+009,-8.85013,79.1046,34.133,60.1211,48.6611,-169.385,14.5281,130.493,-1.41618,-11.0527,0,0
2.058e+009,-8.79807,76.3197,35.0001,61.5433,48.8666,-169.246,13.8665,129.211,-2.07771,-12.335,0,0
2.058e+009,-8.75322,73.7468,35.8398,63.1438,49.0246,-168.864,13.1848,127.992,-2.75944,-13.5538,0,0
2.058e+009,-8.71775,71.2427,36.6779,64.315,49.1488,-168.933,12.4709,126.752,-3.47332,-14.7938,0,0
2.059e+009,-6.87697,94.9788,19.7951,23.2725,35.7297,164.68,15.9346,141.408,0,0,0,0
2.059e+009,-6.90218,94.7051,20.6225,24.7232,36.6266,166.151,16.004,141.427,0.0694652,0.0194887,0,0
2.059e+009,-6.95821,94.5884,21.4908,25.6662,37.5475,167.155,16.0567,141.488,0.122157,0.0805507,0,0
2.059e+009,-7.0318,94.4966,22.3162,27.0642,38.4325,168.577,16.1163,141.513,0.181759,0.105006,0,0
2.059e+009,-7.08744,94.4838,23.1469,28.2459,39.3358,169.797,16.1889,141.551,0.254342,0.142823,0,0
2.059e+009,-7.16625,94.1738,23.9945,29.2542,40.2552,170.666,16.2607,141.411,0.326142,0.0035334,0,0
2.059e+009,-7.26192,94.0125,24.85,31.0358,41.1746,172.324,16.3246,141.288,0.390035,-0.119721,0,0
2.059e+009,-7.34321,93.7169,25.6896,32.6155,42.0928,173.613,16.4032,140.998,0.468657,-0.410443,0,0
2.059e+009,-7.45273,93.5817,26.5548,33.8493,43.0153,174.644,16.4604,140.795,0.525879,-0.613254,0,0
2.059e+009,-7.55476,93.2258,27.3635,34.8305,43.8839,175.154,16.5204,140.324,0.585872,-1.08421,0,0
2.059e+009,-7.70136,92.8817,28.2277,36.145,44.7741,175.919,16.5463,139.774,0.611761,-1.63388,0,0
2.059e+009,-7.8642,92.2907,29.0668,37.9715,45.6253,176.938,16.5585,138.967,0.623942,-2.44127,0,0
2.059e+009,-8.08294,91.3303,29.9053,39.0972,46.4247,176.895,16.5193,137.798,0.58477,-3.61013,0,0
2.059e+009,-8.39805,89.6469,30.7521,40.3912,47.136,176.614,16.3838,136.222,0.44928,-5.18547,0,0
2.059e+009,-8.71479,87.0779,31.6015,41.7389,47.7101,176.235,16.1085,134.496,0.173994,-6.91209,0,0
2.059e+009,-8.87189,84.001,32.4409,43.2228,48.1305,176.167,15.6896,132.945,-0.244943,-8.46334,0,0
2.059e+009,-8.90582,81.0807,33.2798,44.5134,48.4408,176.195,15.161,131.682,-0.773559,-9.72611,0,0
2.059e+009,-8.86892,78.2095,34.1243,45.9393,48.6899,176.356,14.5656,130.416,-1.36893,-10.9916,0,0
2.059e+009,-8.816,75.3638,34.998,47.506,48.8984,176.618,13.9004,129.112,-2.03417,-12.2958,0,0
